cpf_cliente,nome_cliente,email_cliente,telefone_cliente,celular_cliente,cep_cliente,endereco_cliente,numero_cliente,complemento_cliente,bairro_cliente,cidade_cliente,estado_cliente,senha_cliente,nivel_acesso
49823469766,Victoria Green,kathy44@example.com,001-435-280-7834x4795,(702)823-5797x64455,15517,"14173 Smith Views Suite 695 Davidsonbury, SC 40885",4924,Suite 002,North George,North Kathryn,AL,&k!s43Ke*4,2
52344198277,Anthony Sexton,kristine83@example.net,514-919-8504,422-620-3323,49642,"040 Butler Parks Suite 032 Sarahport, NE 50404",902,Suite 394,Port Christopher,Lake Michael,WI,$*1XfVYK#M,2
25846801811,Sharon Lee,ybarker@example.org,(994)865-7675x4277,6057714074,02649,"200 James Shoals East Connieborough, RI 04208",516,Suite 756,Jamesview,Port Sonya,SD,2X1Xny%T*H,2
59993945899,Jody Martinez,ymiller@example.org,(958)565-5041,9087411404,81641,"467 John Course Suite 054 Brendaborough, SC 29468",1870,Suite 216,Justinshire,Joseville,UT,*z$8zOuhOJ,2
01649210288,Lisa Smith,danielle50@example.com,(877)561-0773x931,4596670869,24469,"55071 Jones Trace Lake Amandabury, WV 74828",9081,Suite 283,Michelleborough,Kingstad,GU,w&fG4zFer#,2
76763766700,Christine Brown,jameskirby@example.net,237.428.5079x58658,286-446-7505,50586,"346 Anna Rapid Suite 537 Porterside, CA 77806",24870,Suite 556,Lake Jasmine,Johnsonmouth,NE,@4mGu*C6D0,2
25193913677,Paige Pierce,cwilliams@example.net,383-281-1899,4938333149,91962,"PSC 7093, Box 0809 APO AP 85481",29515,Suite 636,Santosview,South Tracy,MO,hNpk8Yw$+E,2
26250941099,Michele Velez,gpatrick@example.net,(774)315-5157x11471,584-698-7435x1826,07236,"4219 Baker Manor Suite 694 Danielburgh, ND 12405",566,Apt. 496,Parkerborough,Sanchezmouth,MS,qT4+U71p#K,2
06847619211,Michael Flores,shannongreen@example.org,001-784-328-8802x70560,410.423.1853,47993,"323 Brandon Route Apt. 028 West Kristen, WY 42769",029,Apt. 837,Port Anthonymouth,Lake Davidfurt,MD,U54OmAqt#m,2
03944735588,Christine Boone,allison60@example.com,+1-530-351-3164x81565,618.615.0694x0543,93938,"3747 Smith Spurs West Craigchester, AZ 89269",556,Apt. 240,Eatonfort,Port Scott,MP,@Zx1KjlLSF,2
77691078499,Emma Smith DDS,xwilliams@example.com,4168713474,856-926-0708x95396,70663,"7471 Joshua Way Brianberg, MI 30476",334,Suite 514,Davidchester,New Sarah,KY,kS#dh4Xo75,2
98919313911,Felicia Collins,manningrenee@example.net,+1-557-637-8597x3311,891-750-4066,75429,"48947 Johns Path Suite 337 New Valerie, FL 47877",3301,Apt. 080,Theresatown,West Shawnmouth,MA,)mR_B^j^&9,2
99418956600,Kim Taylor,riggsbrenda@example.com,750-746-7322x39626,(581)453-6231,19675,"2511 Amanda Tunnel Apt. 518 Lake Jane, MP 36983",063,Apt. 669,Riceburgh,West Josephshire,MP,LsuD8%c5$3,2
28084385166,Dylan Martinez,lynnanthony@example.net,608-416-6003,989-357-6577x48867,62602,"70531 Amber Harbors South Sarahton, SD 06902",1681,Suite 099,New Donald,West Julie,DC,#!E1#KxG#t,2
36374686111,Brian Bartlett,williamsjose@example.com,001-887-561-5705x54596,691.888.8869x4637,08913,"PSC 2204, Box 5264 APO AA 64626",46416,Apt. 767,West Ashleychester,Parksstad,CT,@4RWKgAg6S,2
13981835399,David Chavez,williamsanne@example.org,(940)638-9205x64021,602.623.5457,61631,"18023 Garcia Shores Suite 049 New Elizabethmouth, NJ 46454",307,Apt. 525,Buckleyside,Allenmouth,OH,&CB9cSair+,2
78855334177,Jerry Roberts MD,susan66@example.org,596.564.3434,001-202-357-3625x1950,19431,"76658 Carrie Streets Apt. 836 North Stephenview, UT 33213",2260,Apt. 063,West Tylermouth,Port Barbara,IN,(IfLNpHvM0,2
15832003122,Devin Hart,paul73@example.com,+1-722-960-6879x2437,001-985-725-7456,36647,"59343 Ramirez Spring Suite 214 North Amberside, LA 46441",7974,Apt. 456,Marisaview,Patriciaberg,MT,xp&S3Gd!E9,2
85228778744,Mary Green,daniel79@example.org,(447)830-0102,917.581.8801x63908,51555,"931 Mitchell Fort Suite 365 New Steven, DC 49119",3536,Apt. 852,Weaverhaven,Lake Danielle,WY,!+756Iil%o,2
63814002933,Holly Morgan,anthonyaustin@example.org,(970)912-0757x3157,4147057378,17384,"870 Johnson Motorway Suite 821 Bonillastad, NJ 39539",2432,Apt. 890,Lake Destinyfort,West Linda,CA,ai6lVe%O5$,2
51091963622,Kayla Kline,michelleduncan@example.org,(870)623-5729x4299,(272)577-6766x12717,61032,"733 Michelle Cliffs Apt. 963 Floydchester, WA 94816",275,Apt. 213,New Kevinshire,Port Thomasland,HI,_vv_GLyKN5,2
56389400066,Nicholas Garcia,davisdana@example.org,960.541.8892,2233929288,85982,"139 Patricia Flat New Jerryfort, TX 75997",730,Apt. 312,Briannaview,Lake Michelletown,MI,!6BXljAiCN,2
44456075500,Morgan Coleman,rwhite@example.org,+1-853-493-9321x60731,+1-743-535-4046x9110,74340,"7569 Brown Brooks Suite 589 Hernandezchester, ND 58626",5828,Suite 530,Jeremyfort,Port Gary,OK,P_%7EqlvI1,2
60879354288,Alexandra Schwartz,bmartin@example.org,+1-815-588-4629,(288)240-7202x99133,39948,"6731 Ford Islands Lake Staceyfort, GA 58317",698,Apt. 515,Lake Stephanietown,Lake Michael,MH,%lQ82PDf&T,2
31125623811,Kenneth Rhodes,ktorres@example.org,(521)453-1146x0179,(215)604-0957x1353,54861,"1025 Robert Coves Benjaminshire, ND 09419",91223,Suite 951,South Paul,Jeremyville,WA,$PbIM1Ze(S,2
84797219288,Lisa Howell,danieljillian@example.net,(201)694-4695,(848)866-2732x44092,66931,"891 Donald Light North Michelle, TX 22497",8267,Suite 660,Leeburgh,Haileyshire,CT,D%2^CjR4$!,2
86889342666,Kelly Adams,vsilva@example.org,001-542-377-2870,752-749-1801x978,03688,"37858 Jackson Extension North Michellechester, NM 19734",683,Apt. 601,Alanport,Tonyastad,OR,Tm68Z3UpS),2
79986093544,Trevor Taylor,jennifer10@example.com,+1-269-338-9336x32482,(232)472-5085,11297,"24929 Jacob Turnpike South Patriciafort, MH 78541",35587,Suite 696,North Aaron,Clarkview,NH,6b!A07O&)y,2
36776487511,Keith Avila II,curtis04@example.com,307.625.1751,234-514-9683,31942,"35401 Kenneth Underpass Suite 618 East Lorifurt, GU 79319",14677,Suite 123,Michaelstad,Davidfort,DE,)40QHp9^*w,2
87187506488,Jennifer Wells,joshua33@example.net,(632)325-4763x12319,001-871-684-8403x176,19246,"6014 Gordon Unions Cookmouth, ID 10817",868,Suite 339,East James,South Ashley,MT,w&8kNqzCS$,2
65965623799,Amber Morales,xcox@example.org,+1-515-357-6582,853-978-2785x90486,62128,"54281 Richard Mews East Bryce, NC 44732",31676,Suite 454,South Richard,Brianburgh,CT,FTEPFhGp^5,2
41063936200,Ann Garcia,mark60@example.com,+1-244-351-7415,224-803-0035x030,02067,"76110 Todd Fields Suite 217 Danielsberg, DC 88088",910,Suite 488,Port Laurie,Port Krista,VA,^ug0VYAaY6,2
87009017177,Aaron Webb,rita37@example.net,+1-324-552-2638,567.979.7131,83844,"64406 Nunez Union Apt. 600 Lake Marcusshire, NV 03456",01046,Suite 692,West Shannonhaven,East Antonio,RI,cpeQQB92)3,2
